Register Number,Gender,Study hours,Attendance percentage,Semester 1(aggregate),Semester 2(aggregate),Semester 3(aggregate),Semester 4(aggregate),Semester 5(aggregate),Semester 6(aggregate),Semester 7(aggregate),Semester 8(aggregate),Total aggregate,No. of backlogs,Internet access(yes/no),Extracurricular activities(yes/no),Device used for studing,Library Usage,Sleep hours,Classroom engagement level,Peer interaction level
REG04021,Male,2.9,74.5,61.19,64.11,63.96,68.35,68.61,72.1,74.09,76.55,68.62,1,yes,no,Mobile,yes,>8 hrs,Medium,High
REG04022,Male,6,94.8,50.87,53.99,55,61.38,60.06,61.98,62.02,63.57,58.61,8,yes,yes,"Laptops, Text books",no,2-4 hrs,Medium,Medium
REG04023,Female,3.4,70.3,64.86,63.53,61.44,66.29,61.76,66.1,61.34,63.44,63.6,5,yes,no,Text books,yes,2-4 hrs,High,High
REG04024,Female,3.6,77,54.25,51.26,52.95,51.44,54.66,48.96,52.38,47.13,51.63,6,yes,yes,Laptops,yes,6-8 hrs,High,Medium
REG04025,Female,6.6,85.8,71.31,77.62,76.63,80.25,79.57,77.61,77.07,79.26,77.41,3,yes,no,Mobile,yes,2-4 hrs,Medium,Medium
REG04026,Female,3.7,75.2,72.2,76.3,74.5,75.11,79.92,83.3,83.52,87.49,79.04,1,yes,yes,"Laptops, Text books",yes,2-4 hrs,Low,Medium
REG04027,Male,3.7,84.1,76.84,76.25,76.44,79.24,83.96,86.32,87.48,88.4,81.87,4,yes,yes,Laptops,no,4-6 hrs,Medium,Medium
REG04028,Male,6.8,83.9,76.46,80.57,80.78,79.83,78,83.91,83.79,80.8,80.52,1,yes,no,Mobile,no,6-8 hrs,Low,Low
REG04029,Female,7.7,80.5,63.29,66.89,69.9,69.91,72.41,78,74.42,75.29,71.26,0,yes,yes,Text books,no,>8 hrs,Low,Medium
REG04030,Male,5.8,88.7,62.8,60.48,63.33,58.17,55.63,56.14,51.55,52.94,57.63,5,yes,no,"Mobile, Text books",yes,6-8 hrs,High,Medium
REG04031,Female,3.2,80.2,62.75,67.85,66.01,60.91,61.74,66.03,64.78,69.62,64.96,1,yes,no,Laptops,no,6-8 hrs,Medium,Medium
REG04032,Male,3.5,83.9,63.05,62.45,63.93,62.64,62.04,67.66,60.22,65.23,63.4,2,yes,yes,Text books,no,4-6 hrs,High,Medium
REG04033,Male,4.7,91.2,53.67,46.74,54.22,52.47,50.94,47.56,46.57,46.33,49.81,7,yes,no,"Laptops, Mobile, Text books",no,6-8 hrs,High,Low
REG04034,Other,5.1,88.3,75.93,77.02,73.84,75.43,74.59,72.94,70.64,69.55,73.74,2,yes,yes,"Laptops, Mobile, Text books",no,4-6 hrs,Medium,High
REG04035,Male,2.5,88.3,73.83,74.55,78.11,83.42,75.67,80.37,82.17,81.08,78.65,2,yes,yes,"Mobile, Text books",no,4-6 hrs,Medium,Medium
REG04036,Other,5.9,72.8,58.55,60.22,58.62,56.12,61.3,56.33,57.44,58.81,58.42,7,yes,yes,"Laptops, Mobile, Text books",yes,6-8 hrs,Medium,Medium
REG04037,Other,4.7,86.2,56.22,57.15,58.09,61.93,54.81,59.66,55.88,58.8,57.82,0,yes,yes,"Laptops, Mobile",no,6-8 hrs,Low,Medium
REG04038,Female,1.1,75,69.22,68.07,71.65,70.22,69.81,72.3,69.61,71.63,70.31,5,yes,no,Mobile,yes,6-8 hrs,Medium,Low
REG04039,Female,2.6,71.7,66.78,64.25,62.7,59.79,57.8,52.48,54.69,52.66,58.89,5,yes,no,"Laptops, Text books",no,6-8 hrs,Low,Medium
REG04040,Female,3.5,81.4,59.49,60.06,59.74,58.76,58.87,59.75,55.45,61,59.14,4,yes,no,"Laptops, Mobile",yes,4-6 hrs,High,Medium
REG04041,Female,4.4,74.8,55.48,55.91,52.84,54.81,55.83,56.38,56.28,49.79,54.66,4,yes,yes,"Laptops, Mobile",yes,4-6 hrs,High,Medium
REG04042,Male,8.3,88.3,53.97,52.91,54.07,55.39,49.41,53.05,56.51,51.58,53.36,6,yes,no,Text books,yes,2-4 hrs,Medium,High
REG04043,Male,5,88.5,70.31,69.31,69.63,72.79,73.58,72.23,74.77,70.35,71.62,5,yes,yes,Text books,no,4-6 hrs,Medium,Medium
REG04044,Female,2.8,66.8,62.31,62.16,62.31,56.77,52.42,55.78,50.84,49.45,56.5,4,yes,yes,"Mobile, Text books",yes,4-6 hrs,Medium,Low
REG04045,Male,4.9,75.4,50.87,54.04,52.79,56.59,52.16,54.98,55.32,58.3,54.38,4,yes,yes,"Mobile, Text books",yes,6-8 hrs,Low,High
REG04046,Male,3.8,70.3,64.58,63.63,71.25,70.04,69.28,71.03,73.7,72.46,69.5,5,yes,no,"Laptops, Text books",yes,6-8 hrs,Low,Medium
REG04047,Male,5.1,78.3,49.13,55.61,55.64,52.36,56.36,53.46,57.58,60.62,55.1,0,yes,yes,Mobile,yes,6-8 hrs,High,Low
REG04048,Female,5.7,85.6,70.62,66.79,68.19,65.7,71.09,71.48,66.65,68.34,68.61,3,yes,yes,"Laptops, Mobile, Text books",yes,4-6 hrs,Medium,Medium
REG04049,Female,6.9,80.1,62.66,62.46,67.87,62.13,60.13,62.8,61.51,63.79,62.92,4,yes,yes,"Laptops, Text books",yes,4-6 hrs,High,Medium
REG04050,Male,4.5,77.3,68.61,64.22,68.36,65.64,64.62,67.36,62.64,61.59,65.38,3,yes,yes,Laptops,yes,4-6 hrs,Medium,Medium
REG04051,Female,7.8,92.4,63.43,62.41,64.74,59.36,58.72,59.91,57.97,50.28,59.6,3,yes,yes,"Laptops, Mobile",no,2-4 hrs,Medium,Low
REG04052,Female,6.3,63.6,64.25,68.87,65.41,68.82,64.65,66.27,67.51,68.64,66.8,3,yes,yes,"Laptops, Mobile",yes,2-4 hrs,Low,Medium
REG04053,Female,3.1,91.9,57.97,58.63,57.52,57,55.64,56.48,58.85,58.68,57.6,3,yes,no,"Laptops, Text books",yes,4-6 hrs,High,High
REG04054,Female,8.9,77.6,52.06,50.51,46.53,49.39,45.77,47.32,45.61,45.74,47.87,5,yes,yes,"Mobile, Text books",yes,4-6 hrs,Medium,High
REG04055,Female,5.2,81.4,71.94,70.79,69.59,65.74,64.98,64.57,57.86,61.13,65.82,3,yes,no,"Mobile, Text books",yes,6-8 hrs,High,Low
REG04056,Male,2.8,77.8,50.33,54.96,53.44,58.89,61.83,61.92,59.6,66.4,58.42,8,yes,no,Text books,yes,>8 hrs,Medium,Medium
REG04057,Female,7.8,94.3,57.73,58.31,61.39,67.89,64.17,63.87,67.68,71.37,64.05,1,yes,no,Laptops,yes,4-6 hrs,Medium,Medium
REG04058,Male,8.7,72.2,62.23,58.32,57.68,62.49,61.3,58.45,60.68,58.26,59.93,6,yes,no,Text books,yes,4-6 hrs,Low,High
REG04059,Female,4.4,82.1,67.77,69.43,67.53,67.57,71.2,65.85,66.27,69.72,68.17,2,yes,no,Laptops,yes,2-4 hrs,Low,Low
REG04060,Other,3.5,86.2,51.69,53.62,54.92,56.3,52.14,50.57,51.92,55.05,53.28,5,yes,yes,Mobile,yes,>8 hrs,High,Medium
REG04061,Male,4.2,69.1,79.93,74.5,66.65,71.56,64.31,65.73,66.12,63.66,69.06,5,yes,no,"Laptops, Text books",yes,4-6 hrs,Low,Medium
REG04062,Male,5.9,74.6,76.29,76.68,77.73,79.57,84.84,87.17,87.13,88.44,82.23,5,yes,no,"Laptops, Text books",no,6-8 hrs,High,Medium
REG04063,Female,7.1,80.8,58.77,60.98,58.62,58.81,62.93,58.4,62.1,64.64,60.66,4,yes,yes,"Mobile, Text books",yes,6-8 hrs,Medium,High
REG04064,Male,5.6,74.9,79.44,79.6,81.08,83.78,85.08,81.5,87.43,88.42,83.29,1,yes,no,Mobile,no,6-8 hrs,Medium,Medium
REG04065,Female,4.7,75.5,54.43,51.98,48.28,45.98,45.88,45.52,44.23,43.39,47.46,6,yes,no,"Laptops, Mobile, Text books",yes,>8 hrs,High,Medium
REG04066,Male,7.5,79.2,55.62,57.05,57.72,53.99,54.6,54.85,55.44,55.5,55.6,8,yes,yes,Mobile,no,4-6 hrs,Medium,Medium
REG04067,Male,3.9,87.2,67.89,67.88,64.5,63.89,62.36,58.23,49.7,56.86,61.41,4,yes,yes,"Mobile, Text books",no,>8 hrs,Medium,Medium
REG04068,Other,6.6,79.3,73.04,78.68,82.51,83.92,87.88,87.8,93.48,89.68,84.62,0,yes,no,Text books,yes,2-4 hrs,High,Medium
REG04069,Female,3.9,90.6,52.88,55.19,50.48,52.24,50.31,44.17,46.74,40.21,49.03,5,yes,yes,"Mobile, Text books",yes,4-6 hrs,Medium,High
REG04070,Female,5.4,74,76.57,73.75,72.42,71.94,72.39,73.54,71.97,74.19,73.35,2,yes,yes,Laptops,yes,6-8 hrs,Low,Low
REG04071,Male,4.3,72,49.36,49.15,49.06,46.47,47.44,48.15,49.3,47.58,48.31,7,yes,no,"Laptops, Text books",yes,4-6 hrs,Medium,Medium
REG04072,Female,4.4,97.4,65.06,62.14,63.96,66.3,65.4,65.97,64.72,63.54,64.64,1,yes,no,"Mobile, Text books",no,2-4 hrs,Low,Medium
REG04073,Female,3.7,76.7,72.2,72.19,69.68,72.13,69.81,73.96,72.37,71.2,71.69,1,yes,no,Laptops,yes,4-6 hrs,Medium,Medium
REG04074,Female,7.2,71.5,68.48,70.79,74.21,73.42,72.08,72.37,75.33,72.04,72.34,3,no,no,Text books,no,6-8 hrs,Medium,Low
REG04075,Female,3,68.1,71.83,70.94,70.11,70.57,71.06,70.63,73,73.15,71.41,2,yes,yes,"Mobile, Text books",yes,6-8 hrs,Medium,Low
REG04076,Female,3,90.6,59.5,63.68,63.63,61.99,65.34,65.71,67.45,63.76,63.88,4,yes,no,"Mobile, Text books",yes,>8 hrs,Medium,Medium
REG04077,Male,8.7,79.3,59.76,60.96,61.11,60.06,58.64,59.2,60.12,58.96,59.85,5,yes,yes,"Laptops, Mobile",no,4-6 hrs,Medium,Medium
REG04078,Male,6.5,80,53.69,54,54.17,56.83,59.46,63.18,63.36,61.11,58.22,5,yes,yes,Mobile,yes,6-8 hrs,Medium,Medium
REG04079,Female,0.5,80.7,71,72.39,75.26,74.62,79.15,83.77,83.06,87.58,78.35,1,no,yes,Laptops,yes,4-6 hrs,Medium,Low
REG04080,Male,3.4,90.1,72.15,72.02,67.18,71.55,69.87,73.49,71.77,70.81,71.1,4,yes,yes,Mobile,yes,6-8 hrs,Medium,Low
REG04081,Female,0.9,80.6,63.93,60.61,58.68,54.16,56.54,52.69,48.24,44.97,54.98,3,yes,yes,"Laptops, Mobile, Text books",yes,4-6 hrs,Medium,High
REG04082,Male,2.6,100,65.36,65.05,66.87,71.01,73.08,78.01,76.07,78.79,71.78,2,yes,yes,"Laptops, Mobile",yes,6-8 hrs,Medium,Medium
REG04083,Female,0.5,83.1,52.5,54.57,53.6,53.53,54.13,49.34,55.18,55.19,53.5,2,yes,no,Laptops,yes,4-6 hrs,Medium,Low
REG04084,Female,4.2,90.5,57.55,61.09,59.91,62.99,62.29,64.32,63.05,61.1,61.54,4,yes,yes,"Laptops, Text books",yes,6-8 hrs,Medium,Low
REG04085,Male,2.2,88.4,78.12,73.09,74.95,79.33,76.14,78.35,76.13,75.53,76.46,3,yes,no,Mobile,yes,6-8 hrs,High,High
REG04086,Male,4.6,81.7,50.88,48.91,50.45,49.63,50.52,53.29,49.37,53.71,50.84,5,yes,yes,Text books,no,4-6 hrs,Medium,Medium
REG04087,Male,1.2,77.3,63.64,64.08,61.35,62.18,63.76,65.57,62.2,59.92,62.84,2,yes,yes,Laptops,yes,6-8 hrs,Low,High
REG04088,Female,4.7,84.7,67.57,66.69,70.71,66.59,66.71,66.46,67.04,66.06,67.23,6,yes,no,"Laptops, Text books",no,>8 hrs,High,Medium
REG04089,Female,3.7,86.1,77.8,73.58,77.69,69,66.98,61.27,65.82,56.58,68.59,5,yes,yes,"Laptops, Mobile",yes,4-6 hrs,Low,Low
REG04090,Male,7.5,77.4,53.8,49.4,54.18,50.78,55.65,56.16,56.51,52.84,53.66,4,yes,no,Laptops,yes,4-6 hrs,Medium,Medium
REG04091,Female,7.3,83.3,56.2,59.82,59.65,64.91,61.11,60.62,65.01,62.26,61.2,3,no,no,Mobile,yes,>8 hrs,Medium,Low
REG04092,Male,6.1,91.9,59.29,55.99,58.89,57.33,56.51,56.48,60.12,56.47,57.64,3,yes,no,Laptops,no,2-4 hrs,Medium,High
REG04093,Male,3.8,98.6,81.36,77.23,78.42,82.95,78.88,84.12,79.14,85.76,80.98,0,yes,yes,Text books,no,6-8 hrs,Medium,Low
REG04094,Female,8.5,88.8,68.57,69.5,64.14,66.79,60.76,59.71,58.91,57.95,63.29,6,yes,yes,Laptops,yes,4-6 hrs,Medium,Medium
REG04095,Male,1.4,96.9,75,78.15,77.04,73.56,74.29,73.72,74.79,71.97,74.82,2,yes,yes,"Mobile, Text books",no,>8 hrs,Medium,High
REG04096,Male,1.7,77,59.3,62.55,57.69,58.65,53.98,60.67,58.57,59.48,58.86,10,yes,yes,Text books,yes,6-8 hrs,Medium,High
REG04097,Male,4.3,87.6,59.81,55.33,58.06,59.72,65.13,67.05,70.14,70.4,63.21,1,yes,yes,Text books,yes,6-8 hrs,High,High
REG04098,Male,9,92.7,73.2,72.78,72.9,76.55,69.86,73.74,73.18,71.91,73.02,3,yes,no,"Laptops, Text books",yes,4-6 hrs,High,Medium
REG04099,Male,4.1,74.8,64.74,63.41,60.29,60.19,53.67,49.27,51.9,52.36,56.98,5,no,yes,"Laptops, Mobile, Text books",yes,6-8 hrs,Medium,Medium
REG04100,Male,4.1,78.1,57.11,62.51,60.79,56.02,56.1,59.24,56.96,58.49,58.4,5,yes,yes,"Laptops, Mobile, Text books",yes,6-8 hrs,Medium,Medium
REG04101,Female,1.6,95.9,66.6,69.89,66.36,61.64,64.14,60.16,57.27,53.14,62.4,0,yes,yes,"Laptops, Text books",no,>8 hrs,High,Medium
REG04102,Male,6.4,74.2,64.58,60.95,56.35,55.22,50.29,53.88,52.67,50.77,55.59,2,yes,no,Laptops,no,2-4 hrs,Low,Medium
REG04103,Female,6.4,71.3,70.2,67.59,71.48,72.89,71.91,75.6,75.72,74.92,72.54,3,yes,no,Laptops,yes,4-6 hrs,Medium,Medium
REG04104,Male,6.1,94.2,49.38,53.65,51.11,50.05,53.97,51.81,54.78,53.59,52.29,2,yes,yes,Laptops,yes,>8 hrs,High,Medium
REG04105,Male,3.2,91.6,73.06,68.16,74.45,75.55,73.85,70.17,68.65,72.44,72.04,5,yes,yes,"Laptops, Text books",no,<2 hrs,Medium,Medium
REG04106,Female,3.1,85.5,52.54,51.82,53.71,54.59,53.02,54.16,52.8,50.53,52.9,4,yes,no,"Mobile, Text books",yes,2-4 hrs,Medium,Medium
REG04107,Other,1.9,81.6,74.1,75.49,74.78,75.32,74.99,68.99,75.78,76.78,74.53,3,yes,yes,Mobile,no,4-6 hrs,High,Low
REG04108,Male,4.7,78.5,53.01,52.77,52.89,51.29,52.73,50.9,56.16,53.81,52.94,4,yes,yes,Mobile,yes,6-8 hrs,High,High
REG04109,Female,2.3,84.3,48.79,56.4,50.79,51.13,50.26,55.27,51.91,49.82,51.8,4,yes,yes,Text books,yes,2-4 hrs,High,Low
REG04110,Female,2.1,94.6,70.02,66.32,66.68,62.7,61.11,57.57,56.87,51.3,61.57,7,yes,yes,"Laptops, Mobile",yes,4-6 hrs,High,Medium
REG04111,Female,3.7,83.9,57.31,61.94,55.56,58.31,57.12,57.65,56.51,59.13,57.94,7,yes,yes,Mobile,yes,6-8 hrs,High,Low
REG04112,Female,3.5,99.3,52.99,56,53.92,55.43,57.21,56.96,56.24,59.83,56.07,5,yes,yes,Laptops,yes,4-6 hrs,Medium,Medium
REG04113,Male,3.4,74.8,63.03,60.14,57.16,54.97,50.19,46.75,49.03,44.13,53.18,6,yes,no,Mobile,yes,4-6 hrs,Medium,Medium
REG04114,Male,5.4,81.8,60.62,57.22,55.58,56.17,58.31,58.18,57.44,56.46,57.5,7,yes,yes,"Laptops, Mobile, Text books",yes,4-6 hrs,Medium,High
REG04115,Female,4.7,79,63.23,60.88,59.05,55.61,55.82,51.92,52.42,46.31,55.66,3,yes,yes,"Laptops, Mobile",yes,2-4 hrs,Medium,Medium
REG04116,Male,3.9,73.3,56.92,53.89,55.57,55.49,56.52,61.63,60.05,64.58,58.08,1,yes,yes,"Laptops, Text books",no,4-6 hrs,Low,Medium
REG04117,Female,4.9,80.8,79.07,74.39,74.94,75.37,71.77,75.6,72.22,71.83,74.4,4,yes,no,Text books,yes,4-6 hrs,Low,Medium
REG04118,Male,2.5,85.3,55.78,62.52,60.21,61.38,63.42,61.11,64.6,56.62,60.7,6,yes,yes,"Mobile, Text books",no,4-6 hrs,Low,Medium
REG04119,Male,4.7,86.2,63.14,59.14,62.76,65.31,65.81,68.53,68.54,69.84,65.38,0,yes,yes,Mobile,yes,6-8 hrs,Medium,Medium
REG04120,Female,4.8,99.4,65.67,67.7,67.35,71.89,70.41,73.47,77.1,80.16,71.72,1,yes,no,Mobile,no,6-8 hrs,Medium,High
REG04121,Male,1.5,85.7,50.67,49.39,44.31,46.25,44.48,42.32,38.31,36.35,44.01,5,yes,no,"Mobile, Text books",yes,6-8 hrs,High,Medium
REG04122,Female,6.5,91.2,60.53,56.51,60.21,53.42,56.38,57.58,57.01,60.99,57.83,3,yes,no,Text books,yes,6-8 hrs,Medium,Medium
REG04123,Female,2.7,82.5,73.54,73.22,76.15,81.43,83.36,83.24,85.73,92.4,81.13,1,yes,yes,Mobile,yes,4-6 hrs,Medium,Medium
REG04124,Female,4.7,95.4,63.26,62.64,67.36,63.2,68.41,65.86,67.31,69.55,65.95,1,yes,yes,Mobile,yes,6-8 hrs,Medium,Low
REG04125,Female,6.8,100,61.43,57.13,57.28,58.78,51.92,48.83,49.89,47.83,54.14,4,yes,no,Text books,no,6-8 hrs,High,Medium
REG04126,Female,6.4,86.2,50.87,49.84,55.45,48.47,53.12,52,53.83,51.37,51.87,6,yes,yes,"Laptops, Text books",no,4-6 hrs,High,Medium
REG04127,Female,4.6,74.1,63.19,65.01,64.21,65.2,62.06,60.59,61.16,61.01,62.8,0,yes,no,"Mobile, Text books",yes,6-8 hrs,High,Medium
REG04128,Female,3.8,77.6,59.15,59.5,55.99,57.87,60.72,57.5,57.04,58.56,58.29,2,no,yes,Mobile,no,>8 hrs,High,Medium
REG04129,Male,6.4,84.3,76.37,77.59,74.25,67.52,70.11,67.19,63.7,64.24,70.12,5,yes,no,Mobile,yes,>8 hrs,High,Medium
REG04130,Male,5.8,85.7,62.11,55.65,59.46,58.94,51.14,49.39,50.5,48.78,54.5,3,yes,no,Laptops,yes,4-6 hrs,Medium,Medium
REG04131,Male,3.3,87.6,55.58,55.61,53.7,53.99,56.17,55.17,56.22,57.92,55.54,0,yes,yes,Laptops,no,2-4 hrs,Medium,High
REG04132,Male,2.9,85.7,51.16,54.92,47.42,47.39,44.78,41.61,40.79,38.34,45.8,6,yes,no,Mobile,yes,6-8 hrs,Medium,High
REG04133,Female,0.5,82.1,65.69,71.76,74.08,69.47,71.82,72.3,80.1,77.99,72.9,2,yes,yes,"Laptops, Text books",yes,6-8 hrs,Low,High
REG04134,Female,4.8,76.9,51.67,55.98,59.61,55.54,52.19,55.77,56.88,57.57,55.65,5,yes,yes,"Laptops, Mobile, Text books",no,>8 hrs,High,Medium
REG04135,Female,4.3,85.2,80.74,81.65,79.81,86.28,85.8,90.59,86.83,93.01,85.59,2,yes,no,Text books,yes,2-4 hrs,Medium,Medium
REG04136,Male,6.8,96.8,68.56,68.34,66.78,68.37,70.24,69.02,71.9,67.65,68.86,6,yes,no,"Laptops, Text books",yes,4-6 hrs,High,Medium
REG04137,Female,5.2,90.2,58.28,61.14,60.39,66.24,64.53,68.92,72.47,73.53,65.69,2,yes,no,Mobile,no,6-8 hrs,Medium,Medium
REG04138,Male,7.2,86.3,81.18,81.12,78.97,80.2,81.1,80.41,80.68,80.01,80.46,1,yes,yes,"Laptops, Mobile, Text books",no,2-4 hrs,Medium,Medium
REG04139,Female,3.1,90.2,63.21,66.95,69.64,70.73,69.83,72.74,72.54,79.1,70.59,2,yes,no,Laptops,yes,6-8 hrs,Low,Low
REG04140,Female,6.8,79,72.49,70.47,74.7,74.26,74.26,74.32,75.5,76.78,74.1,4,yes,yes,Laptops,yes,6-8 hrs,Medium,Medium
REG04141,Male,3.4,77.9,72.21,69.3,68.81,66.83,64.82,64.38,60.22,55.45,65.25,5,no,yes,Mobile,yes,4-6 hrs,Medium,Medium
REG04142,Male,6.1,76,63.93,59.89,61.59,61.65,57.41,59.26,51.93,51.94,58.45,5,yes,yes,Mobile,no,6-8 hrs,Medium,Medium
REG04143,Male,1.6,81,81.11,79.13,84.09,85.14,86.66,88.65,92.8,91.62,86.15,6,no,no,Text books,yes,2-4 hrs,High,Medium
REG04144,Female,5,78.6,70.25,67.29,65.91,67.66,69.24,64.25,66.27,68.62,67.44,5,yes,no,Laptops,yes,6-8 hrs,Medium,High
REG04145,Female,0.5,91.7,60.66,60.35,64.92,62.09,60.75,62.47,60.4,62.99,61.83,6,yes,no,"Laptops, Text books",no,2-4 hrs,High,High
REG04146,Female,4,78.2,70.3,74.08,71.69,73.06,71.46,71.8,70.74,70.3,71.68,1,no,yes,"Laptops, Text books",no,2-4 hrs,Medium,Medium
REG04147,Male,5.4,75.6,69.42,63.56,61.63,54.79,57.3,54.41,55.09,50.28,58.31,3,yes,yes,Text books,yes,6-8 hrs,Medium,Medium
REG04148,Male,3.5,97.5,62.63,64.33,64.7,73.03,70.77,72.74,78.46,77.57,70.53,6,yes,no,Mobile,yes,4-6 hrs,Medium,High
REG04149,Female,2.4,78.4,69.21,68.78,73.55,68.74,71.06,70.53,78.13,71.3,71.41,0,yes,no,Laptops,no,6-8 hrs,High,Medium
REG04150,Female,6.2,83.2,67.24,69.09,69.12,67.56,69.01,69.03,70.41,68.36,68.73,5,yes,yes,"Laptops, Mobile, Text books",no,4-6 hrs,Medium,High
REG04151,Male,4.3,85.6,55.01,57.01,58.57,62.4,64.63,64.9,69.12,71.14,62.85,6,yes,no,"Mobile, Text books",no,6-8 hrs,Medium,High
REG04152,Male,3.5,72.9,73.68,71.41,72.42,68.96,72.39,68.51,68.61,71.18,70.9,5,yes,yes,Mobile,yes,4-6 hrs,Medium,High
REG04153,Female,4.6,91.9,59.12,61.69,58.22,56.47,57.26,58.7,61.99,61.78,59.4,1,yes,yes,Text books,yes,6-8 hrs,High,Medium
REG04154,Male,9.8,87.1,56.74,62.54,61.96,64.79,65.46,65.35,67.15,66.17,63.77,3,yes,yes,"Laptops, Mobile",yes,>8 hrs,High,Medium
REG04155,Male,6.8,94.5,80.83,76.84,77.36,68.67,74.1,69.56,71.94,65.76,73.13,4,yes,no,"Laptops, Mobile, Text books",no,4-6 hrs,Low,Medium
REG04156,Male,6.8,76.6,48.13,54.03,55.36,57.71,57.2,59.82,60.11,66.11,57.31,6,yes,yes,"Laptops, Mobile",yes,2-4 hrs,Low,Medium
REG04157,Female,5.4,82.8,66.95,67.83,62.14,65.13,61.53,66.38,66.54,68.19,65.59,3,yes,yes,Mobile,yes,>8 hrs,Medium,Medium
REG04158,Female,4.8,82.3,68.3,73.46,70.62,75.5,72.09,74.01,72.69,72.44,72.39,1,yes,yes,"Laptops, Mobile",no,4-6 hrs,High,Medium
REG04159,Female,0.5,84.1,71.25,74.11,77.38,79.9,82.87,83.71,85.62,91.11,80.74,1,no,yes,Mobile,no,4-6 hrs,Medium,Medium
REG04160,Female,3.1,70.4,71.32,70.65,66.12,62.37,64.69,64.48,66.62,65.93,66.52,2,yes,yes,Laptops,no,>8 hrs,Medium,High
REG04161,Female,3.5,82.9,72.16,70.87,77.98,77.49,84.19,86.85,82.82,85.73,79.76,0,yes,yes,Text books,yes,6-8 hrs,Medium,Low
REG04162,Male,0.8,70.6,57.58,55.15,55.05,54.09,54.45,49.21,55.47,50.61,53.95,4,yes,yes,"Laptops, Mobile, Text books",no,6-8 hrs,Medium,High
REG04163,Female,2.2,84.9,71.12,68.67,69.88,69.39,64.19,61.17,59.6,59.83,65.48,7,yes,no,Mobile,no,6-8 hrs,Medium,High
REG04164,Male,0.5,65,57.52,61.38,58.93,59.87,60.17,70.06,64.18,64.59,62.09,3,yes,yes,Text books,yes,6-8 hrs,Medium,Medium
REG04165,Female,4.4,67.2,67.35,71.54,70.81,74.3,78.81,77.15,80.27,81.93,75.27,0,yes,yes,Mobile,no,6-8 hrs,Medium,High
REG04166,Male,6.1,88.5,67.94,67.84,70.23,66.34,68.9,69.05,70.74,67.18,68.53,3,no,yes,Mobile,no,6-8 hrs,Medium,Medium
REG04167,Male,6.7,77.6,54.92,55.99,57.83,58.11,63.01,64.58,65.5,64.78,60.59,7,yes,no,"Laptops, Mobile, Text books",yes,6-8 hrs,High,Medium
REG04168,Male,5.3,74.1,56.59,55.23,57.83,59.76,56.43,55.07,56.97,55.74,56.7,1,yes,no,"Laptops, Text books",yes,4-6 hrs,Low,Medium
REG04169,Male,2.6,92.2,76.03,72.2,71.63,70.01,66.65,64.86,63.95,59.15,68.06,3,yes,yes,Laptops,yes,6-8 hrs,Medium,Low
REG04170,Male,0.6,84.6,54.66,54.91,55.3,56.7,58.82,55.92,54.26,52.82,55.42,6,yes,yes,"Laptops, Mobile",no,6-8 hrs,Medium,High
REG04171,Male,1,89,67.3,68.66,65.82,67.67,63.94,63.42,65.74,64.64,65.9,1,yes,no,"Mobile, Text books",yes,6-8 hrs,High,High
REG04172,Other,2,80.7,74.42,76.67,76.56,77.88,74.21,74.36,72.01,78.31,75.55,3,yes,yes,Text books,yes,4-6 hrs,High,Medium
REG04173,Male,2.7,100,76.73,77.09,74.69,71.72,69.71,66.06,68.77,65.55,71.29,1,yes,yes,"Laptops, Mobile, Text books",yes,2-4 hrs,Medium,Medium
REG04174,Female,4.2,77.2,78.94,81.59,81.08,82.3,88.86,81.89,90.79,90.77,84.53,0,yes,yes,Laptops,no,4-6 hrs,Medium,Medium
REG04175,Female,2.5,96,74.95,74.33,76.07,76.3,75.35,78.87,72.9,75.33,75.51,4,no,yes,"Mobile, Text books",yes,4-6 hrs,Medium,Medium
REG04176,Other,5.2,81.5,73.75,73.07,71.42,77.31,74.64,77.3,75.85,77.68,75.13,6,yes,yes,"Laptops, Text books",yes,6-8 hrs,Medium,Low
REG04177,Female,4,68.8,73.16,74.33,74.09,73.89,75.48,71.8,72.01,71.58,73.29,2,yes,yes,"Laptops, Text books",yes,6-8 hrs,High,Medium
REG04178,Female,4.5,85.9,59.98,58.74,62.35,61.2,61.87,62.03,60.1,62.19,61.06,5,yes,yes,"Mobile, Text books",yes,6-8 hrs,Medium,Low
REG04179,Male,6.8,84.5,73.5,72.15,72.38,72.08,71.88,74.85,78.26,72.56,73.46,3,yes,yes,Text books,yes,6-8 hrs,Medium,Medium
REG04180,Male,2.1,73.6,73.13,75.98,80.1,77.45,81.87,84.42,90.64,88.91,81.56,2,yes,yes,Mobile,no,6-8 hrs,Medium,Medium
REG04181,Male,5.3,74.6,56.62,59.13,58.33,57.75,57.41,58.78,58.01,57.81,57.98,3,yes,no,"Mobile, Text books",no,4-6 hrs,Medium,High
REG04182,Female,4.5,81.8,69.94,70.31,67.94,66.73,67.73,66.59,70.41,71.84,68.94,1,no,no,Mobile,no,6-8 hrs,Low,Medium
REG04183,Female,3.8,84.8,70.23,68.78,68.89,66.69,65.53,57.23,56.46,56.39,63.77,2,yes,no,Laptops,yes,6-8 hrs,Medium,High
REG04184,Male,6.3,62.2,74.22,77.65,71.78,74.04,75.7,74.82,74.51,78.03,75.09,2,yes,no,Mobile,yes,6-8 hrs,Medium,Medium
